date,teacher_id,status,timestamp,is_auto
2025-04-05,T002,present,2025-04-05 07:06:11,False
2025-04-05,T003,present,2025-04-05 07:06:11,False
2025-04-05,T004,present,2025-04-05 07:06:11,False
2025-04-05,T005,present,2025-04-05 07:06:11,False
2025-04-05,T006,present,2025-04-05 07:06:11,False
2025-04-05,T007,present,2025-04-05 07:06:11,False
2025-04-05,T008,present,2025-04-05 07:06:11,False
2025-04-05,T010,present,2025-04-05 07:06:11,False
2025-04-05,T011,present,2025-04-05 07:06:11,False
2025-04-05,T012,present,2025-04-05 07:06:11,False
2025-04-05,T013,present,2025-04-05 07:06:11,False
2025-04-05,T014,present,2025-04-05 07:06:11,False
2025-04-05,T015,present,2025-04-05 07:06:12,False
2025-04-05,T016,present,2025-04-05 07:06:12,False
2025-04-05,T017,present,2025-04-05 07:06:12,False
2025-04-05,T018,present,2025-04-05 07:06:12,False
2025-04-05,T019,present,2025-04-05 07:06:12,False
2025-04-05,T020,present,2025-04-05 07:06:12,False
2025-04-05,T021,present,2025-04-05 07:06:12,False
2025-04-05,T022,present,2025-04-05 07:06:12,False
2025-04-05,T023,present,2025-04-05 07:06:12,False
2025-04-05,T024,present,2025-04-05 07:06:12,False
2025-04-05,T025,present,2025-04-05 07:06:12,False
2025-04-05,T026,present,2025-04-05 07:06:12,False
2025-04-05,T027,present,2025-04-05 07:06:12,False
2025-04-05,T028,present,2025-04-05 07:06:12,False
2025-04-05,T029,present,2025-04-05 07:06:12,False
2025-04-05,T030,present,2025-04-05 07:06:12,False
2025-04-05,T031,present,2025-04-05 07:06:12,False
2025-04-05,T032,present,2025-04-05 07:06:13,False
2025-04-05,T033,present,2025-04-05 07:06:13,False
2025-04-05,T034,present,2025-04-05 07:06:13,False
2025-04-05,T035,present,2025-04-05 07:06:13,False
2025-04-05,T036,present,2025-04-05 07:06:13,False
2025-04-05,T037,present,2025-04-05 07:06:13,False
2025-04-05,T038,present,2025-04-05 07:06:13,False
2025-04-05,T039,present,2025-04-05 07:06:13,False
2025-04-05,T040,present,2025-04-05 07:06:13,False
2025-04-05,T041,present,2025-04-05 07:06:13,False
2025-04-05,T042,present,2025-04-05 07:06:13,False
2025-04-05,T043,present,2025-04-05 07:06:13,False
2025-04-05,T044,present,2025-04-05 07:06:13,False
2025-04-05,T045,present,2025-04-05 07:06:13,False
2025-04-05,T100,present,2025-04-05 07:06:13,False
2025-04-05,T046,unmarked,2025-04-05 07:06:20,
